数据来源,标题,内容,帖子主题,是否活动贴,回复数,点赞数,浏览数,分享数,互动率,综合互动得分,情绪标签,提及产品,产品属性标签,创建时间,发布日期,发布小时
C酱1区,机长们都多久起飞🛫一次？,"机长们都多久起飞🛫一次？
我先来：两三天一次",其他,否,12.0,9.0,1784.0,2.0,0.0067264573991031,8.1,中性,,,2026-01-14 11:46:16,2026/01/14,11
C酱1区,杯子的存放也有讲究,"杯子的存放也有讲究
别把它和数据线、工具、化妆品塞同一个抽屉！看似省空间，实则隐患多：
容易被硬物刮伤表面；
化妆品/润滑油残留可能导致材质溶胀；
混放也增加细菌交叉污染风险。
建议：单独使用一个密封盒，或在收纳柜里划出专用隔层。哪怕只是一个小盒子，也能有效防尘、防压、防串味。干净的存放环境 = 更长的使用寿命 + 更安心的体验。花两分钟整理，换来几个月安心使用，这波不亏！",其他,否,1.0,0.0,211.0,0.0,0.0047393364928909,0.4,负面,,收纳、材质,2026-01-14 12:48:25,2026/01/14,12
C酱1区,飞机杯品鉴丨深度测试新时代电动机娘coc诺诺亚,"飞机杯品鉴丨深度测试新时代电动机娘coc诺诺亚
作为老吃家，你告诉我市面上又新出了一款电动神器，并且还是机娘风格，半身造型的圣杯，我怎么可能不去品鉴一下呢？",其他,否,58.0,17.0,2179.0,4.0,0.0266177145479577,29.500000000000004,中性,诺诺亚,电动功能、通道刺激度,2026-01-14 14:11:17,2026/01/14,14
C酱1区,新手、老司机、进阶、每个段位用哪样的杯最舒服,"新手、老司机、进阶、每个段位用哪样的杯最舒服
作为“圣杯”，飞机杯是几乎是各个年龄段“通吃”，即便如此，不同人群在购买飞机杯时考虑的侧重点还是有很大的差异，小萌新追求新鲜，老司机更图ciji。
这是一篇诚意满满的干货指南，看完之后，XDM再也没有选购焦虑了。",使用经验分享,否,74.0,27.0,1970.0,3.0,0.0375634517766497,38.6,正面,,外观,2026-01-14 15:26:50,2026/01/14,15
C酱1区,coc赤鸢总算到了，又可以解锁新芝士了！,"coc赤鸢总算到了，又可以解锁新芝士了！
听说玩法有点多，8u们都来说说，有哪些，今晚一个一个试！",闲聊/水贴,否,27.0,13.0,928.0,7.0,0.0290948275862068,16.8,正面,赤鸢,,2026-01-14 16:56:43,2026/01/14,16
C酱1区,果然有用啊兄弟们！,"果然有用啊兄弟们！
兄弟们，我玩星梨奈二代终于是破纪录了，16分钟（哭死）我是用排空气玩的，钕上位坐，然后我腰跟着动，输出了几分钟就用手控制星二动，这时候有点慢了，后面挤空气更用力，吸得更紧了，最后一分钟，直接完全进入，触底突破的感觉太爽了
一不小心就she了，这个体验已经很棒了，又能锻炼又能次级的漺！",其他,否,7.0,2.0,401.0,1.0,0.0174563591022443,3.7,正面,星梨奈,通道、通道刺激度,2026-01-14 17:05:22,2026/01/14,17
C酱1区,COC美优酱开箱实测,"COC美优酱开箱实测
心心念念的美优酱也是到货了
先说包装，快递是绝对照顾隐私的，没有任何顾客个人信息和产品信息，使用的是普通的快递盒，隐私方面好评(＾ω＾)👍🏻，主体包装未拆封时是由一层塑料膜保护的，主体包装如图一，非常精致，和其他品牌捡漏的塑料壳和纸壳现场了鲜明对比，看上去就像一个女孩子送的礼物一样。
打开后第一层是放周边的，里面有一封“情书”，一张亚克力明信片和两个吧唧（这点确实惊艳到我了，我甚至忘了这是杯子的包装，超级精致好吧），下一层就是杯杯主体了，由质量很好的泡沫固定，还有两层塑料膜保护，所有安全卫生这方面绝对没问题，而且这也给后续收纳提供了很大的便利😊
#COC#飞机杯#倒膜#测评#开箱#圣杯战争",产品评测/开箱,否,14.0,35.0,1321.0,2.0,0.0105980317940953,16.700000000000003,正面,,外观、收纳、材质,2026-01-14 17:24:47,2026/01/14,17
C酱1区,赤鸢怎么叠券😫,"赤鸢怎么叠券😫
看到有叠到600不到的，想问问怎么叠券，开888vip会亏因为不怎么买东西",求助/咨询,否,9.0,3.0,456.0,0.0,0.0197368421052631,4.5,负面,赤鸢,,2026-01-14 23:53:19,2026/01/14,23
C酱1区,"【暖窝团子·福团团】新品驾到,“要进来暖和一下吗？”","【暖窝团子·福团团】新品驾到,“要进来暖和一下吗？”
——【萌宠疗愈街】——
街道尽头的转角处
温泉馆的灯光
总是比别处更柔软一些
最近，这里迎来了一位
笨拙却格外认真的
仓鼠娘疗愈师
【暖窝小团子·福团团】",资讯/新品,否,9.0,2.0,650.0,1.0,0.0138461538461538,4.5,正面,,外观、材质,2026-01-15 14:41:36,2026/01/15,14
C酱1区,兄弟们，你们的圣杯使用寿命是多久？,"兄弟们，你们的圣杯使用寿命是多久？
我准备好好养护，用完就洗，用个一年往上",其他,否,4.0,6.0,295.0,0.0,0.0135593220338983,3.4,正面,,清洗,2026-01-15 17:02:30,2026/01/15,17
C酱1区,斐济杯怎么洗才算干净？,"斐济杯怎么洗才算干净？
萌新第一个圣杯，用是好用，但是润滑有点难洗掉，要洗好几次，是不是得买清洗液来洗啊？",其他,否,19.0,6.0,3366.0,5.0,0.0056446821152703,10.9,正面,,外观、清洗,2026-01-15 17:31:04,2026/01/15,17
C酱1区,jk配皮裤，酷😇,"jk配皮裤，酷😇
YD ▪️RUBBER GALS▪️",其他,否,0.0,2.0,158.0,0.0,0.0,0.6,中性,,,2026-01-15 17:37:04,2026/01/15,17
C酱1区,coc赤鸢vs可可狼姬+黄油小姐,"coc赤鸢vs可可狼姬+黄油小姐
rt，预算只够入赤鸢，或者可可狼姬+黄油小姐，求大佬给点意见！",其他,否,5.0,21.0,753.0,1.0,0.0066401062416998,8.600000000000001,中性,可可狼姬、赤鸢、黄油小姐,,2026-01-15 17:42:01,2026/01/15,17
C酱1区,8u们，赤鸢购买及问询,"8u们，赤鸢购买及问询
赤鸢最近有活动吗？看吧里有兄弟600左右就能拿下，怎么叠券能做到啊？",其他,否,6.0,4.0,280.0,1.0,0.0214285714285714,3.9,中性,赤鸢,,2026-01-16 10:36:15,2026/01/16,10
C酱1区,帮兄弟问问，tpe圣杯每周用2-3次可以撑半年吗？,"帮兄弟问问，tpe圣杯每周用2-3次可以撑半年吗？
兄弟在我的推荐下，上个月入了个人生第一个圣杯，星梨奈，每周大概用2~3次，每次都认真洗+晾干+撒保养粉。
想问下：1. 这个频率算高吗？TPE杯正常寿命到底是多久？2. 有没有同样频率使用、杯子还能撑半年以上的老哥？怎么保养的？",使用经验分享,否,22.0,10.0,4379.0,0.0,0.0050239780771865,11.8,正面,星梨奈,清洗、材质,2026-01-16 16:48:37,2026/01/16,16
C酱1区,萌新入手了圣杯，问问大家,"萌新入手了圣杯，问问大家
之前看篇三分钟不到就被淼了，不看片五分钟左右，但感觉不看篇出来很不爽。问问大家有一样的感觉吗？",产品评测/开箱,否,3.0,3.0,248.0,2.0,0.0120967741935483,2.7,中性,,外观、通道刺激度,2026-01-16 19:13:42,2026/01/16,19
C酱1区,被诺诺亚秒了呜呜呜,"被诺诺亚秒了呜呜呜
刚到的诺诺亚，迫不及待就体验了一把，结果被秒了喵呜呜呜",其他,否,3.0,1.0,236.0,2.0,0.0127118644067796,2.1,中性,诺诺亚,,2026-01-16 19:27:29,2026/01/16,19
C酱1区,赤鸢怎么买价格最低啊,"赤鸢怎么买价格最低啊
8u们 请问赤鸢怎么买最优惠啊？听8u说可以叠券之类的，求8u指点",求助/咨询,否,6.0,3.0,226.0,0.0,0.0265486725663716,3.3000000000000003,正面,赤鸢,,2026-01-16 20:03:06,2026/01/16,20
C酱1区,我的娜娜子🥲,"我的娜娜子🥲
冬天了，娜娜子刚到几天，用40多度的水加热，就是洗澡水的温度，结果在水里一泡，颜色发生了变化，温度下降后也没有恢复，有什么补救方法吗，请问tpe加热温度应该控制到什么范围呢",求助/咨询,否,2.0,0.0,255.0,0.0,0.0078431372549019,0.8,中性,,外观、清洗、电动功能、通道刺激度,2026-01-16 20:09:07,2026/01/16,20
C酱1区,coc赤鸢和娅莎塔，选那个？,"coc赤鸢和娅莎塔，选那个？
rt，还没有用过这么大的，想试试大的是不是真的比小杯子好玩很多！",其他,否,5.0,3.0,459.0,0.0,0.0108932461873638,2.9,正面,赤鸢,,2026-01-17 16:57:09,2026/01/17,16
C酱1区,准备整个具漺的大斐济杯,"准备整个具漺的大斐济杯
rt，吧友们有啥推荐？有用过coc娅莎塔的吗？磁极吗？",其他,否,5.0,1.0,415.0,1.0,0.0120481927710843,2.5999999999999996,正面,,,2026-01-17 17:31:17,2026/01/17,17
C酱1区,我这样说没问题吧,"我这样说没问题吧
好开心前两天刚买的可可狼姬也是到驿站了，趁着有空，直接就去把快递取了回来，第一次取还是有点小激动，不过还是遇到了点意外，小哥问我买的啥东西，我说是洗衣液应该没事吧？小哥知不知道里面是什么啊",求助/咨询,否,1.0,0.0,325.0,0.0,0.003076923076923,0.4,正面,可可狼姬,清洗,2026-01-17 19:47:09,2026/01/17,19
C酱1区,求助你们都是怎么计算时间的,"求助你们都是怎么计算时间的
经常在吧里看见有些老哥说能有20分钟甚至更久，想问下各位都是怎么计算时间的。比如有没有看视频，频率多快？中途有没有休息？",其他,否,1.0,5.0,197.0,0.0,0.0050761421319796,1.9,中性,,,2026-01-18 13:43:27,2026/01/18,13
C酱1区,coc赤鸢简测,"coc赤鸢简测
rt，初入半身坑，就和赤鸢有了不解之缘。无聊刷贴吧的时候，一眼就被黑皮的外形迷住了！之前没用过半身，都只是屯，还是比较慎重也有所期待的。细看，有支架！那应该可玩度很高！再看，雷雷很软，嗯……好nie……再看，大屯有够大，本来就喜欢屯的我看到这里被彻底征服！！",其他,否,9.0,2.0,238.0,1.0,0.0378151260504201,4.5,正面,赤鸢,外观、材质、通道刺激度,2026-01-18 14:17:59,2026/01/18,14
C酱1区,coc赤鸢作为一个半身娃娃,"coc赤鸢作为一个半身娃娃
黑皮外形好对我胃口，之前都是玩一千多的，这个才七百多，质量怎么样啊，感觉有点不太敢相信",其他,否,7.0,3.0,535.0,1.0,0.0130841121495327,4.0,正面,赤鸢,外观,2026-01-18 14:23:44,2026/01/18,14
C酱1区,有兄弟用过那个娅莎塔或魔女2嘛问问细节,"有兄弟用过那个娅莎塔或魔女2嘛问问细节
",求助/咨询,否,3.0,1.0,338.0,0.0,0.0088757396449704,1.5000000000000002,中性,,,2026-01-18 16:20:23,2026/01/18,16
C酱1区,求助吧友券怎么领啊？,"求助吧友券怎么领啊？
想要入手coc赤鸢，我怎么还是755呢？没有88会员和有会员的价格差距大吗？",其他,否,6.0,1.0,199.0,0.0,0.0301507537688442,2.7,负面,赤鸢,,2026-01-19 14:53:07,2026/01/19,14
C酱1区,📢8U们，赤鸢&娅莎塔幽会quan更新啦！！！！,"📢8U们，赤鸢&娅莎塔幽会quan更新啦！！！！
这波幽会⭕更大了诶！！",其他,否,65.0,35.0,2892.0,16.0,0.022475795297372,41.3,中性,赤鸢,,2026-01-19 15:34:39,2026/01/19,15
C酱1区,COC可可狼姬2.0实测！,"COC可可狼姬2.0实测！
兄弟们！使用了COC家的美优酱和星梨奈2代APP（星梨奈的测评没有写如果有兄弟想看可以留言）后又入手了可可狼姬2.0和黄油小姐2.0，今天也是到货了！
还是老规矩先说物流和包装。首先物流非常快，买了几次发现COC好像都是从成都附近发货，我在昆明第二天就到了，非常快。其次是物流包装，纸箱📦是用的食品包装纸箱，隐私保护可以说非常不错，打开后就是码放的很整齐的杯杯了，包装无破损好评。
把玩具包装如图二，设计的很精致，而且使用厚纸壳所以一点廉价感都没有完全可以用作后续的收纳容器。
打开后的样子如图三，首先是一张明信片和一个香片，下面的就是可可了，包装的很好，安全这一块完全可以放心😌
#COC#可可狼姬#圣杯战争#斐济杯",产品评测/开箱,否,155.0,2075.0,15830.0,12.0,0.0097915350600126,688.1,正面,可可狼姬、星梨奈、黄油小姐,气味、材质、外观、电动功能、收纳,2026-01-19 17:02:04,2026/01/19,17
C酱1区,斐济🛫杯原来还能这么用🤣,"斐济🛫杯原来还能这么用🤣
真妙bi生花",其他,否,1.0,2.0,173.0,0.0,0.0057803468208092,1.0,正面,,,2026-01-19 17:26:26,2026/01/19,17
C酱1区,冬日飞机杯加热方式全网盘点，从夯到拉！！！,"冬日飞机杯加热方式全网盘点，从夯到拉！！！
兄弟们，尤其是我大南方的战友们，冬天真是考验意志力的季节。每次兴致来了，拿出珍藏的杯子，一碰那酸爽……瞬间透心凉，什么念头都给冻回去了。今天咱们不整虚的，直接实测市面上常见的几种加热方法，用我的亲身经历（和牺牲的一个杯子），给大伙排个雷、种个草。话不多说，开整！",其他,否,6.0,1.0,598.0,1.0,0.0100334448160535,3.0,中性,,收纳、电动功能、材质、通道刺激度,2026-01-19 17:33:56,2026/01/19,17
C酱1区,xdm都咋保养半身的,"xdm都咋保养半身的
刚入手了黑皮半身赤鸢，8U们都咋保养的？多久上一次粉？多久用一次用的寿命可以长一点？",产品评测/开箱,否,3.0,0.0,264.0,0.0,0.0113636363636363,1.2000000000000002,正面,赤鸢,清洗,2026-01-19 17:34:14,2026/01/19,17
C酱1区,关于斐济杯擦粉保养,"关于斐济杯擦粉保养
大家平时擦粉的话有什么手法或者心得吗？擦多少算可以了？",其他,否,5.0,2.0,198.0,1.0,0.0252525252525252,2.9,正面,,清洗,2026-01-19 17:37:52,2026/01/19,17
C酱1区,赤鸢适合厚ru吗？,"赤鸢适合厚ru吗？
我感觉厚ru好涩啊，问问8u们赤鸢可以吗？",求助/咨询,否,3.0,1.0,282.0,0.0,0.0106382978723404,1.5000000000000002,正面,赤鸢,,2026-01-19 17:37:59,2026/01/19,17
C酱1区,COC美优酱分享一下,"COC美优酱分享一下
讲真，我最近挖到个宝藏——COC美优酱，真的要按头推荐给喜欢小尺寸的朋友！性价比和便捷度双在线，完全戳中我对“小屯款”的所有期待，用下来感觉没踩一点雷。",其他,否,1.0,0.0,246.0,0.0,0.0040650406504065,0.4,正面,,外观、收纳、通道刺激度,2026-01-20 11:45:08,2026/01/20,11
C酱1区,赤鸢这个价格香吗？,"赤鸢这个价格香吗？
兄弟们，肿么样啊？？？？",其他,否,8.0,1.0,340.0,2.0,0.0235294117647058,4.1,正面,赤鸢,气味,2026-01-20 17:13:42,2026/01/20,17
C酱1区,欧派是什么手感捏,"欧派是什么手感捏
本人还是单身狗一枚，想知道欧派摸起来到底什么感觉？求吧友解答！",其他,否,2.0,1.0,195.0,1.0,0.0102564102564102,1.4,中性,,,2026-01-20 18:05:28,2026/01/20,18
C酱1区,COC黄油小姐2.0实测来力,"COC黄油小姐2.0实测来力
外包装在上一篇帖子里已经讲过了，这篇就不展开细说了
打开后如图二，有一张明信片和一个香片，和可可一样，打开后第一印象就是香！这次不是可可香而是和美优酱那样的奶香味，很自然闻起来很舒服👍🏻
上手后触感绝了，软，真软，比可可还要软，这就是像果冻一样（实际上比果冻Q弹多了），拿在手上肉感直接拉满
#COC#黄油小姐2.0#斐济杯#圣杯战争",其他,否,28.0,16.0,3795.0,4.0,0.0073781291172595,17.2,正面,可可狼姬、黄油小姐,外观、气味、材质,2026-01-20 20:23:46,2026/01/20,20
C酱1区,星梨奈到了，跟大佬们请教一下锻炼方法,"星梨奈到了，跟大佬们请教一下锻炼方法
这个也是lz的第一款飞机杯，之前一直都是手艺，后面越来越快，逛吧好多兄弟都用星梨奈锻炼，说是可以模拟实战，这要咋锻炼拖敏啊？",其他,否,5.0,1.0,449.0,1.0,0.0111358574610244,2.5999999999999996,正面,星梨奈,材质、通道刺激度,2026-01-21 11:10:38,2026/01/21,11
C酱1区,一次性拿下两个杯，诺诺亚&星梨奈,"一次性拿下两个杯，诺诺亚&星梨奈
放假回家好好玩#飞机杯#",其他,否,29.0,14.0,856.0,5.0,0.0338785046728971,17.3,正面,星梨奈、诺诺亚,收纳,2026-01-21 11:15:58,2026/01/21,11
C酱1区,纯干货！如何用飞机杯进行科学训练？,"纯干货！如何用飞机杯进行科学训练？
提起飞机杯，很多男生可能只是把它当成一个解压工具，但你不知道的是，如果使用得当，它还能助你提升杏能力！
今天我们就来聊聊如何科学使用飞机杯进行训练，让你从新手小白成长为高手老司机。",使用经验分享,否,10.0,11.0,746.0,2.0,0.0134048257372654,7.9,正面,,,2026-01-21 11:30:17,2026/01/21,11
C酱1区,电动款连的app 哪里有别人或者推荐的频率收藏啊,"电动款连的app 哪里有别人或者推荐的频率收藏啊
Rt 就找到了几种固定的 没有找到别人分享的",其他,否,1.0,0.0,166.0,0.0,0.0060240963855421,0.4,正面,,收纳、电动功能,2026-01-21 15:36:01,2026/01/21,15
C酱1区,看到喜欢的人会“起立”，是变态吗？,"看到喜欢的人会“起立”，是变态吗？
咋办啊？？？",其他,否,1.0,2.0,205.0,1.0,0.0048780487804878,1.3,正面,,,2026-01-21 16:59:40,2026/01/21,16
C酱1区,【飞机杯保养】保养粉/滑石粉/玉米淀粉哪个最好？,"【飞机杯保养】保养粉/滑石粉/玉米淀粉哪个最好？
刚入坑的兄弟容易忽略一件事：经历水洗大战后，杯子为啥还摸着发粘？时间长了甚至还出油、有异味？这是因为TPE材质特性导致的——出油和吸尘是常态，这时候就需要请出圣物，“保养粉”了。
但一看网上，有人推滑石粉，有人说玉米淀粉，还有卖“专用保养粉”的……到底该用哪个？
其实飞机杯保养时，保养粉、滑石粉和玉米淀粉各有特点，难以简单评判哪个“最好”，需根据实际需求和材质选择",其他,否,9.0,4.0,664.0,1.0,0.0135542168674698,5.1,中性,,清洗、气味、材质,2026-01-22 14:04:35,2026/01/22,14
C酱1区,润滑液挤多少,"润滑液挤多少
挤两泵刚好，多了没包虢感，少了磨得慌，这用量亲测靠谱☺️☺️",其他,否,1.0,2.0,196.0,0.0,0.0051020408163265,1.0,正面,,通道刺激度,2026-01-22 16:10:15,2026/01/22,16
C酱1区,飞机杯的真实体验,"飞机杯的真实体验
求助各种玩杯大佬，飞机杯体验起来能很真的一样吗？有没有真实度一摸一样的",其他,否,4.0,0.0,170.0,1.0,0.0235294117647058,1.9,正面,,材质、通道刺激度,2026-01-22 16:13:53,2026/01/22,16
C酱1区,斐济被被发现了怎么办？,"斐济被被发现了怎么办？
收到才玩了3次，就被妈妈打扫卫生发现没收了，当场社死",其他,否,5.0,2.0,263.0,1.0,0.0190114068441064,2.9,中性,,,2026-01-22 16:18:57,2026/01/22,16
C酱1区,你们愿意吗？,"你们愿意吗？
这值得思考🤔",其他,否,4.0,5.0,595.0,0.0,0.0067226890756302,3.1,正面,,,2026-01-23 09:49:42,2026/01/23,9
C酱1区,coc诺诺亚测评,"coc诺诺亚测评
coc诺诺亚斐济杯测评
外观挺好，这个斐济杯上面的颜色感觉红的过头导致不太好看在箱子里面看起来挺小实际拿起来比看起来大很多",产品评测/开箱,否,24.0,22.0,1228.0,5.0,0.019543973941368,17.700000000000003,正面,诺诺亚,外观、材质,2026-01-23 17:02:59,2026/01/23,17
C酱1区,大家玩半身是什么感受,"大家玩半身是什么感受
年货节入手了赤鸢和可可狼姬，因为是小名器到大导模，不开玩笑，第一次使用赤鸢的时候差点喵了，你们也是这样的吗？",产品评测/开箱,否,5.0,0.0,348.0,1.0,0.014367816091954,2.3,负面,可可狼姬、赤鸢,,2026-01-23 17:18:03,2026/01/23,17
C酱1区,萌新想求一个好的牌子半身或者大屯,"萌新想求一个好的牌子半身或者大屯
目前看了元气教练、娅莎塔、赤鸢、莓莓兔等好几个，好犹豫选那个。或者有更好的推荐",其他,否,2.0,7.0,454.0,1.0,0.0044052863436123,3.2,正面,赤鸢、莓莓兔,外观,2026-01-23 17:27:44,2026/01/23,17
C酱1区,新手，第一次推荐个半身,"新手，第一次推荐个半身
鼠鼠放假了，有实践可以满足下需求，用手有点太乏味了，求各位大佬推荐一款能爽玩的，还想玩的稍微持久一点的！",其他,否,4.0,2.0,205.0,0.0,0.0195121951219512,2.2,正面,,收纳、材质、通道刺激度,2026-01-23 17:31:18,2026/01/23,17
C酱1区,慢玩的看学习资料不放声音30分钟，有必要换ciji的吗,"慢玩的看学习资料不放声音30分钟，有必要换ciji的吗
rt，一直都是用的慢玩杯子，想了解下能玩30甚至40分钟有必要换刺激的吗？",其他,否,6.0,3.0,278.0,1.0,0.0215827338129496,3.6,中性,,噪音、收纳、通道刺激度,2026-01-23 17:41:41,2026/01/23,17
C酱1区,可以放到第二天再洗吗？,"可以放到第二天再洗吗？
天气太冷了，用完就不想动了，之前就是隔一两个小时再去清洗，昨晚实在不想出去就没洗，用湿纸巾擦了下把润滑液倒出来了，可以放第二天早上洗吗？",其他,否,4.0,1.0,209.0,0.0,0.0191387559808612,1.9,正面,,收纳、清洗、材质,2026-01-23 17:43:13,2026/01/23,17
C酱1区,赤鸢体验感真不错,"赤鸢体验感真不错
这半身讲真的还真的不错，里面还有一套和立绘一样的衣服，套在胶体上面，简直就是赤鸢降临在我身边",其他,否,1.0,2.0,214.0,0.0,0.0046728971962616,1.0,正面,赤鸢,,2026-01-23 20:46:00,2026/01/23,20
C酱1区,斐济杯真的能锻炼吗？,"斐济杯真的能锻炼吗？
之前我的兄弟说买了个杯杯，然后有一次进门偶然碰见他正在用啊，然后我出去了，回来了，大约20分钟，竟然还在用，用了杯杯真的能时间变长吗？",其他,否,44.0,28.0,7345.0,4.0,0.0059904697072838,27.2,中性,,通道刺激度,2026-01-24 18:09:34,2026/01/24,18
C酱1区,杯杯用久了，会不会有味道,"杯杯用久了，会不会有味道
我的杯子用了快半年，最近感觉好像有点淡淡的味道了，其实不仔细闻还是闻不出来的，不知道是不是心理作用，有什么方法可以安全又彻底地清洗一下吗？会不会损伤材质？",其他,否,3.0,3.0,190.0,0.0,0.0157894736842105,2.1,正面,,清洗、气味、材质,2026-01-25 17:19:05,2026/01/25,17
C酱1区,诺诺亚到了准备晚上试一试,"诺诺亚到了准备晚上试一试
嘿嘿，诺诺亚终于到了，先洗一下，休息一会儿。等会儿用一下给兄弟们说一下感觉怎么样，据说比星梨奈还要 cj ，期待 ๑ 乛 v 乛 ๑",其他,否,1.0,4.0,222.0,1.0,0.0045045045045045,1.9,中性,星梨奈、诺诺亚,清洗,2026-01-25 17:21:19,2026/01/25,17
C酱1区,大家用半身一般都是多长时间啊,"大家用半身一般都是多长时间啊
上个月入手的赤鸢，这用了也有段时间了，现在总是五六分钟左右的，有什么办法能锻炼锻炼的吗？",其他,否,4.0,1.0,300.0,1.0,0.0133333333333333,2.2,中性,赤鸢,通道刺激度,2026-01-25 17:33:29,2026/01/25,17
C酱1区,多款飞机杯交替使用，有什么特别的乐趣吗？,"多款飞机杯交替使用，有什么特别的乐趣吗？
逛8的时候看到好多8u都是一次性买好几款杯子，是多款杯子一起使用会有更大的乐趣嘛？目前就手里就上个月入了星梨奈，今晚有活动，纠结要不要再入一个",其他,否,3.0,1.0,205.0,1.0,0.0146341463414634,1.8000000000000005,正面,星梨奈,,2026-01-26 16:07:04,2026/01/26,16
C酱1区,半身类产品国产的好还是日本牌的好？,"半身类产品国产的好还是日本牌的好？
rt，想入个半身",其他,否,4.0,0.0,191.0,1.0,0.0209424083769633,1.9,正面,,,2026-01-26 16:10:04,2026/01/26,16
C酱1区,从入门到进阶，最佳斐济杯选择！（半身娃娃版）,"从入门到进阶，最佳斐济杯选择！（半身娃娃版）
无论怎么选，半身娃娃🧸的选择都是先从了解自己开始",求助/咨询,否,14.0,9.0,675.0,0.0,0.0207407407407407,8.3,中性,,,2026-01-26 17:01:27,2026/01/26,17
C酱1区,你们的解压神器都长什么样子？,"你们的解压神器都长什么样子？
真的有人不喜欢半身，不喜欢大鼙鼓吗
各位机长们看看你的解压玩具呢",其他,否,5.0,4.0,271.0,0.0,0.018450184501845,3.2,正面,,外观,2026-01-27 14:32:33,2026/01/27,14
C酱1区,飞机杯越贵越好吗？,"飞机杯越贵越好吗？
先说结论：不是。作为一名玩杯多年的老机长来讲，低价一定是没有好产品的，高价也不一定就是好产品",其他,否,5.0,3.0,220.0,1.0,0.0227272727272727,3.1999999999999997,中性,,,2026-01-27 16:01:54,2026/01/27,16
C酱1区,使用半身娃娃，会影响以后与真实伴侣的关系吗？,"使用半身娃娃，会影响以后与真实伴侣的关系吗？
感觉半身倒膜越做越真实了，很多兄弟都说很接近榛仁，甚至有的还说比榛仁更漺！那玩这类杯子久了会影响日后与真实伴侣的关系或min感度吗？",其他,否,26.0,17.0,2998.0,4.0,0.0086724482988659,16.7,正面,,噪音、材质、通道刺激度,2026-01-27 17:40:28,2026/01/27,17
C酱1区,coc赤鸢实物测评和完事后清理工作,"coc赤鸢实物测评和完事后清理工作
coc的快递速度真心快，等了两天就收到了。收到货一看，实物比图片还好看诶！材质很软，捏上去特别舒服，随便捏都不会变形。颜色和细节做得也很精致，完全超出我预期。特别要夸一下赠送的旗袍，简直是加分项，穿上去效果杠杠的！",产品评测/开箱,否,3.0,6.0,398.0,6.0,0.007537688442211,4.8,正面,赤鸢,外观、材质、通道刺激度,2026-01-27 17:41:26,2026/01/27,17
C酱1区,第一次，怎么用才对？,"第一次，怎么用才对？
兄弟们，问问第一次用半身娃娃，怎么用才对？",求助/咨询,否,1.0,0.0,183.0,1.0,0.0054644808743169,0.7,中性,,,2026-01-27 17:47:31,2026/01/27,17
C酱1区,关于加热棒使用加热问题,"关于加热棒使用加热问题
冬天太冷了，玩就要加热，但lz不太懂，放入通道加热的时候要涂润滑液吗？加热棒要加热多久呢?除了加热棒还有其他加热方法吗？求大佬解答。",其他,否,3.0,5.0,186.0,1.0,0.0161290322580645,3.0,正面,,通道、收纳、电动功能,2026-01-27 17:48:54,2026/01/27,17
C酱1区,解锁了星梨奈的热水spa按摩啦,"解锁了星梨奈的热水spa按摩啦
泡澡的时候把星梨奈带进去解锁了热浴spa玩法，太舒服了！强烈建议有条件的兄弟都可以试试！",其他,否,3.0,4.0,431.0,1.0,0.0069605568445475,2.7,正面,星梨奈,,2026-01-28 16:01:35,2026/01/28,16
C酱1区,一周频率多少可以达到锻炼的效果,"一周频率多少可以达到锻炼的效果
兄弟们，很急，星梨奈一周多少次能达到锻炼的效果啊？",其他,否,7.0,4.0,343.0,2.0,0.0204081632653061,4.6,正面,星梨奈,通道刺激度,2026-01-28 18:58:31,2026/01/28,18
C酱1区,电动杯好不好清洗，和手动杯的感觉相差大吗？,"电动杯好不好清洗，和手动杯的感觉相差大吗？
最近想买个电动杯（手动太累了懒得动）但是听说电动杯材质都比较硬，而且难清洗，有无买过电动杯的吧友们帮忙解答一下",其他,否,2.0,1.0,192.0,1.0,0.0104166666666666,1.4,负面,,清洗、电动功能、材质,2026-01-28 19:20:53,2026/01/28,19
C酱1区,求推荐！！,"求推荐！！
请问一下各位大佬，我作为一个新手，预算500以内有什么推荐的臀吗？我喜欢外观好看的，不想要太刺激的，舒服慢玩的那种",求助/咨询,否,3.0,2.0,184.0,1.0,0.0163043478260869,2.1,正面,,外观、通道刺激度,2026-01-29 08:03:35,2026/01/29,8
C酱1区,保护粉可以随身携带过安检吗？,"保护粉可以随身携带过安检吗？
注意‼️
保护粉不能携带过安检！
因为其成分里面有滑石粉，属于易燃成分，是违禁品，别带来！",使用经验分享,否,3.0,4.0,241.0,0.0,0.0124481327800829,2.4000000000000004,正面,,清洗,2026-01-29 13:54:54,2026/01/29,13
C酱1区,航班即将起飞，乘客请选择位置入座！,"航班即将起飞，乘客请选择位置入座！
",资讯/新品,否,2.0,0.0,221.0,0.0,0.0090497737556561,0.8,中性,,,2026-01-29 14:30:06,2026/01/29,14
C酱1区,短cu好还是长细好?,"短cu好还是长细好?
不是很懂",其他,否,2.0,1.0,208.0,0.0,0.0096153846153846,1.1,正面,,,2026-01-29 15:57:36,2026/01/29,15
C酱1区,你们喜欢大半身还是小半身体型,"你们喜欢大半身还是小半身体型
我个人喜欢小的入了诺诺亚，本人XP就是半身了，收纳清洗实在方便太多了",其他,否,2.0,1.0,237.0,0.0,0.0084388185654008,1.1,正面,诺诺亚,收纳、清洗、材质,2026-01-29 17:32:20,2026/01/29,17
